carat,cut,color,clarity,x,y,z,depth,table,price
1.62,Ideal,I,VS2,7.53,7.58,4.69,62.1,55,10501
0.3,Premium,G,SI1,4.39,4.35,2.57,58.8,60,574
1.37,Ideal,F,VS1,7.28,7.22,4.32,59.6,57,11649
0.33,Fair,H,VVS2,4.4,4.32,2.84,65.1,59,922
0.32,Very Good,F,VS2,4.43,4.48,2.62,58.8,62,602
0.51,Premium,E,SI2,5.15,5.12,3.22,62.7,52,1205
1.5,Good,H,VS2,7.22,7.27,4.61,63.6,58,10291
0.85,Ideal,G,VS1,6.09,6.11,3.77,61.8,55,4373
0.33,Ideal,F,VS1,4.46,4.49,2.74,61.2,56,723
1.1,Ideal,G,VS1,6.69,6.65,4.09,61.3,54,6535
0.51,Very Good,E,VVS2,5.2,5.23,3.13,60,58,2365
0.54,Ideal,E,VS2,5.24,5.27,3.24,61.7,55,1754
1.51,Premium,G,VS2,7.2,7.31,4.55,62.7,58,12756
0.7,Premium,G,SI1,5.68,5.65,3.57,63,56,2386
0.74,Ideal,G,VVS2,5.9,5.88,3.58,60.7,56,3831
1.12,Premium,H,VS1,6.6,6.64,4.11,62.1,58,5845
2.02,Ideal,I,SI2,8.06,7.99,4.99,62.2,57,10412
0.9,Premium,D,SI1,6.15,6.11,3.84,62.6,58,4304
0.57,Ideal,D,VS2,5.35,5.42,3.3,61.3,56,2546
0.31,Very Good,I,SI1,4.32,4.3,2.73,63.3,53,523
0.51,Ideal,H,VS2,5.14,5.16,3.13,60.8,57,1442
0.3,Ideal,I,SI1,4.35,4.32,2.7,62.3,56,506
0.52,Ideal,F,VS2,5.22,5.19,3.19,61.3,57,1624
1,Good,H,SI2,6.25,6.33,4.02,63.9,55,3878
0.31,Ideal,G,SI1,4.36,4.4,2.7,61.6,56,627
0.3,Good,F,SI2,4.29,4.33,2.73,63.3,55,394
1.76,Premium,H,VS2,7.72,7.68,4.79,62.2,60,13626
0.36,Premium,H,VS2,4.6,4.55,2.79,61,60,729
1.21,Premium,H,VS2,6.82,6.78,4.18,61.5,58,6710
1.02,Ideal,E,SI2,6.46,6.52,4,61.6,55,4824
0.41,Premium,E,SI1,4.79,4.83,2.89,60.1,60,755
1.07,Premium,G,SI2,6.67,6.61,3.98,59.9,59,4278
0.7,Ideal,I,VVS2,5.63,5.68,3.51,62.1,58,2276
0.41,Ideal,F,VS1,4.79,4.75,2.95,61.8,56,1076
1.09,Ideal,F,SI1,6.59,6.54,4.1,62.5,57,5527
1.8,Good,F,SI2,8.13,8.08,4.69,57.9,58,12308
1.01,Premium,H,VS1,6.43,6.39,3.97,61.9,57,4779
0.55,Ideal,F,VVS1,5.25,5.27,3.27,62.2,57,2569
0.3,Good,E,VS2,4.26,4.3,2.71,63.3,55,526
0.52,Ideal,D,SI1,5.14,5.19,3.19,61.8,57,1600
0.38,Premium,F,VS2,4.67,4.72,2.84,60.5,59,800
0.9,Good,H,SI1,6.23,6.27,3.69,59,62,3577
0.7,Very Good,H,SI1,5.68,5.77,3.46,60.4,61,2296
0.9,Good,G,SI1,6.04,6.09,3.79,62.5,62,4008
0.71,Very Good,E,SI1,5.68,5.72,3.53,61.9,56,2455
1.6,Premium,J,VS1,7.52,7.49,4.6,61.3,59,9032
0.46,Ideal,J,VVS1,4.97,4.93,3.06,61.8,56,1018
0.56,Ideal,G,IF,5.33,5.28,3.29,62,56,2399
0.52,Very Good,E,VS2,5.1,5.17,3.2,62.3,57,1689
1.58,Fair,H,SI1,7.28,7.22,4.69,64.7,58,7333
0.33,Premium,G,SI2,4.42,4.4,2.76,62.6,58,557
1.05,Ideal,H,SI1,6.43,6.52,4.05,62.5,56,4937
1.01,Fair,H,SI1,6.33,6.23,4.1,65.3,57,4256
0.31,Ideal,E,IF,4.39,4.41,2.68,60.9,55,987
1.2,Ideal,J,SI2,6.87,6.79,4.21,61.7,56,4744
0.7,Very Good,G,VS2,5.76,5.83,3.42,59,60,2437
0.7,Premium,F,VS1,5.63,5.59,3.49,62.2,58,2669
0.71,Premium,J,VS2,5.71,5.63,3.56,62.8,61,1917
0.51,Ideal,E,VS2,5.16,5.13,3.16,61.4,57,1781
1.51,Very Good,E,SI2,7.32,7.26,4.61,63.2,56,10012
0.7,Very Good,G,SI2,5.66,5.59,3.55,63.2,57,1715
1.02,Very Good,F,VVS2,6.34,6.38,4.05,63.7,59,9728
1.04,Ideal,F,VVS1,6.5,6.53,4.02,61.6,55,10825
0.31,Ideal,J,SI1,4.37,4.4,2.69,61.3,56,418
1.12,Ideal,F,VS2,6.68,6.73,4.15,61.9,55,7589
0.32,Very Good,F,SI1,4.4,4.43,2.68,60.7,62,497
1.51,Ideal,F,VS1,7.34,7.38,4.57,62.1,56,16370
1,Premium,F,I1,6.6,6.55,3.87,58.9,60,2841
0.3,Premium,H,VS2,4.3,4.27,2.61,60.9,61,608
1.01,Premium,E,SI1,6.53,6.47,3.9,60,59,5973
0.53,Ideal,G,VVS2,5.19,5.21,3.25,62.5,54,1818
0.72,Ideal,E,VVS2,5.75,5.78,3.57,62,54.9,4094
1,Ideal,D,IF,6.44,6.48,3.92,60.7,57,16469
0.51,Ideal,G,VS1,5.14,5.1,3.17,61.9,56,1781
0.7,Ideal,D,SI1,5.76,5.73,3.54,61.7,57,3199
1.51,Very Good,G,VS2,7.28,7.2,4.58,63.3,60,12872
1,Good,E,VS1,6.48,6.43,3.87,60,65,7190
